timestamp,asset_id,assigned_site_id,latitude,longitude,engine_state,engine_rpm,engine_hours_total,fuel_level_pct,engine_temp_c,battery_voltage,speed_kmh,ground_truth_label
2026-07-29T00:00:00Z,EQX0001,SITE013,12.950346,79.074551,OFF,0,1349.3,62.58,41.6,13.71,0.0,NORMAL
2026-07-29T00:05:00Z,EQX0001,SITE013,12.948755,79.0759,OFF,0,1349.3,62.58,54.6,12.29,0.0,NORMAL
2026-07-29T00:10:00Z,EQX0001,SITE013,12.957596,79.076436,OFF,0,1349.3,62.58,59.9,14.23,0.0,NORMAL
2026-07-29T00:15:00Z,EQX0001,SITE013,12.950866,79.070074,OFF,0,1349.3,62.57,46.9,13.06,0.0,NORMAL
2026-07-29T00:20:00Z,EQX0001,SITE013,12.957138,79.07806,OFF,0,1349.3,62.56,60.8,13.63,0.0,NORMAL
2026-07-29T00:25:00Z,EQX0001,SITE013,12.949318,79.078392,OFF,0,1349.3,62.54,46.3,12.71,0.0,NORMAL
2026-07-29T00:30:00Z,EQX0001,SITE013,12.946936,79.071172,OFF,0,1349.3,62.53,69.7,13.84,0.0,NORMAL
2026-07-29T00:35:00Z,EQX0001,SITE013,12.951904,79.078216,OFF,0,1349.3,62.53,65.6,12.46,0.0,NORMAL
2026-07-29T00:40:00Z,EQX0001,SITE013,12.95691,79.074277,OFF,0,1349.3,62.52,68.8,13.2,0.0,NORMAL
2026-07-29T00:45:00Z,EQX0001,SITE013,12.948927,79.070711,OFF,0,1349.3,62.51,69.9,13.4,0.0,NORMAL
2026-07-29T00:50:00Z,EQX0001,SITE013,12.957448,79.073123,OFF,0,1349.3,62.5,55.1,12.75,0.0,NORMAL
2026-07-29T00:55:00Z,EQX0001,SITE013,12.956241,79.073654,OFF,0,1349.3,62.49,47.7,13.01,0.0,NORMAL
2026-07-29T01:00:00Z,EQX0001,SITE013,12.953104,79.069402,OFF,0,1349.3,62.47,43.2,13.83,0.0,NORMAL
2026-07-29T01:05:00Z,EQX0001,SITE013,12.955049,79.078025,OFF,0,1349.3,62.46,64.0,13.55,0.0,NORMAL
2026-07-29T01:10:00Z,EQX0001,SITE013,12.958446,79.076978,OFF,0,1349.3,62.46,67.1,13.44,0.0,NORMAL
2026-07-29T01:15:00Z,EQX0001,SITE013,12.949354,79.072658,OFF,0,1349.3,62.46,63.9,13.86,0.0,NORMAL
2026-07-29T01:20:00Z,EQX0001,SITE013,12.949308,79.071708,OFF,0,1349.3,62.44,63.7,14.19,0.0,NORMAL
2026-07-29T01:25:00Z,EQX0001,SITE013,12.953713,79.069254,OFF,0,1349.3,62.43,50.3,14.59,0.0,NORMAL
2026-07-29T01:30:00Z,EQX0001,SITE013,12.954423,79.079228,OFF,0,1349.3,62.43,50.7,13.29,0.0,NORMAL
2026-07-29T01:35:00Z,EQX0001,SITE013,12.950873,79.079935,OFF,0,1349.3,62.42,37.2,12.79,0.0,NORMAL
2026-07-29T01:40:00Z,EQX0001,SITE013,12.946951,79.075651,OFF,0,1349.3,62.41,66.4,13.18,0.0,NORMAL
2026-07-29T01:45:00Z,EQX0001,SITE013,12.951375,79.07642,OFF,0,1349.3,62.4,39.7,12.87,0.0,NORMAL
2026-07-29T01:50:00Z,EQX0001,SITE013,12.949411,79.078059,OFF,0,1349.3,62.38,45.7,13.37,0.0,NORMAL
2026-07-29T01:55:00Z,EQX0001,SITE013,12.958382,79.07552,OFF,0,1349.3,62.37,61.8,14.26,0.0,NORMAL
2026-07-29T02:00:00Z,EQX0001,SITE013,12.955674,79.075527,OFF,0,1349.3,62.35,36.9,14.04,0.0,NORMAL
2026-07-29T02:05:00Z,EQX0001,SITE013,12.951585,79.070412,OFF,0,1349.3,62.35,37.2,12.59,0.0,NORMAL
2026-07-29T02:10:00Z,EQX0001,SITE013,12.958495,79.078507,OFF,0,1349.3,62.33,62.1,12.17,0.0,NORMAL
2026-07-29T02:15:00Z,EQX0001,SITE013,12.950601,79.069608,OFF,0,1349.3,62.31,60.5,13.11,0.0,NORMAL
2026-07-29T02:20:00Z,EQX0001,SITE013,12.956279,79.073053,OFF,0,1349.3,62.3,59.0,13.29,0.0,NORMAL
2026-07-29T02:25:00Z,EQX0001,SITE013,12.950354,79.070607,OFF,0,1349.3,62.28,41.4,13.18,0.0,NORMAL
2026-07-29T02:30:00Z,EQX0001,SITE013,12.949746,79.070885,OFF,0,1349.3,62.28,38.2,12.98,0.0,NORMAL
2026-07-29T02:35:00Z,EQX0001,SITE013,12.952041,79.069606,OFF,0,1349.3,62.27,37.9,12.74,0.0,NORMAL
2026-07-29T02:40:00Z,EQX0001,SITE013,12.953306,79.076671,OFF,0,1349.3,62.25,37.1,12.34,0.0,NORMAL
2026-07-29T02:45:00Z,EQX0001,SITE013,12.946771,79.0724,OFF,0,1349.3,62.25,69.5,12.87,0.0,NORMAL
